time_ms,speed_rpm
13152,85.71
13162,85.71
13172,85.71
13182,85.71
13192,85.71
13202,102.86
13212,85.71
13222,85.71
13232,85.71
13242,85.71
13252,102.86
13262,68.57
13272,102.86
13282,85.71
13292,85.71
13302,85.71
13312,85.71
13322,102.86
13332,85.71
13342,85.71
13352,85.71
13362,85.71
13372,102.86
13382,85.71
13392,85.71
13402,85.71
13412,85.71
13422,85.71
13432,85.71
13442,102.86
13452,85.71
13462,85.71
13473,85.71
13483,102.86
13493,85.71
13503,85.71
13513,102.86
13523,68.57
13533,102.86
13543,85.71
13553,85.71
13563,85.71
13573,85.71
13583,102.86
13593,85.71
13603,85.71
13613,85.71
13623,85.71
13633,85.71
13644,102.86
13654,85.71
13664,85.71
13674,102.86
13684,85.71
13694,85.71
13704,85.71
13714,85.71
13724,85.71
13734,85.71
13744,85.71
13754,102.86
13764,85.71
13774,85.71
13784,85.71
13794,85.71
13804,102.86
13814,68.57
13824,102.86
13834,85.71
13844,85.71
13854,102.86
13864,68.57
13874,102.86
13884,85.71
13894,85.71
13904,85.71
13914,85.71
13924,85.71
13934,102.86
13944,85.71
13954,85.71
13964,85.71
13974,85.71
13985,102.86
13995,85.71
14005,85.71
14015,102.86
14025,85.71
14035,85.71
14045,85.71
14055,85.71
14065,85.71
14075,85.71
14085,102.86
14095,85.71
14105,85.71
14115,85.71
14125,85.71
14135,85.71
14145,102.86
14156,85.71
14166,85.71
14176,102.86
14186,85.71
14196,85.71
14206,85.71
14216,85.71
14226,102.86
14236,85.71
14246,85.71
14256,85.71
14266,85.71
14276,85.71
14286,85.71
14296,85.71
14306,102.86
14316,85.71
14326,85.71
14336,85.71
14346,85.71
14356,102.86
14366,85.71
14376,85.71
14386,85.71
14396,85.71
14406,85.71
14416,85.71
14426,102.86
14436,85.71
14446,85.71
14456,85.71
14466,85.71
14476,85.71
14486,102.86
14497,85.71
14507,85.71
14517,102.86
14527,85.71
14537,85.71
14547,85.71
14557,85.71
14567,85.71
14577,102.86
14587,85.71
14597,85.71
14607,85.71
14617,85.71
14627,85.71
14637,85.71
14647,102.86
14657,85.71
14668,85.71
14678,102.86
14688,85.71
14698,85.71
14708,85.71
14718,85.71
14728,102.86
14738,85.71
14748,85.71
14758,85.71
14768,85.71
14778,85.71
14788,102.86
14798,85.71
14808,85.71
14818,85.71
